,land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,date_time
4826,0.5078254017380694,1.3511268858259937,0.0,0.0,0.00517546892563865,0.0002294077975424602,3/12/2017 8:00
4827,0.509134647578218,1.3546102823806487,0.0,0.0,0.005198424233796705,0.00022038702740105666,3/12/2017 9:00
4828,0.5100777807401796,1.3571195947696688,0.0,0.0,0.005217536182372532,0.00021131301402205205,3/12/2017 10:00
4829,0.5106568059274835,1.358660156733405,0.0,0.0,0.00523274808409705,0.00020226378109331034,3/12/2017 11:00
4830,0.5108760935396339,1.3592435962137674,0.0,0.0,0.00524404254577516,0.00019330323675477602,3/12/2017 12:00
4831,0.5107419829097214,1.3588867797230413,0.0,0.0,0.00525143521628241,0.0001844832027886212,3/12/2017 13:00
4832,0.51026243753332,1.357610895041393,0.0,0.0,0.005254969354248501,0.00017584517747512685,3/12/2017 14:00
4833,0.5094467457621366,1.3554406548784925,0.0,0.0,0.00525471111349251,0.000167421864586359,3/12/2017 15:00
4834,0.5083052612820772,1.3524036063860723,0.0,0.0,0.005250745456754693,0.00015923849751593667,3/12/2017 16:00
4835,0.5068491784214133,1.3485295333399032,0.0,0.0,0.005243172619228935,0.00015131398431112776,3/12/2017 17:00
4836,0.5050903379602207,1.3438499394738572,0.0,0.0,0.00523210505302312,0.00014366189640757198,3/12/2017 18:00
4837,0.5030410596531414,1.3383976028877818,0.0,0.0,0.005217664792124826,0.00013629132117332077,3/12/2017 19:00
4838,0.5007139981467105,1.3322061926992634,0.0,0.0,0.005199981184869323,0.000129207595943146,3/12/2017 20:00
4839,0.4981220193806863,1.3253099401953925,0.0,0.0,0.005179188947421472,0.00012241293905385753,3/12/2017 21:00
4840,0.49527809491880276,1.317743357687787,0.0,0.0,0.005155426497502978,0.00011590699146031059,3/12/2017 22:00
4841,0.4921952119654384,1.309540999101767,0.0,0.0,0.005128834532618121,0.0001096872808009719,3/12/2017 23:00
4842,0.48888629709703013,1.3007372570551616,0.0,0.0,0.005099554821439796,0.00010374961827164464,3/13/2017 0:00
4843,0.48536415197580807,1.2913661918174313,0.0,0.0,0.005067729180887954,9.808843733680295e-05,3/13/2017 1:00
4844,0.4816413995230006,1.2814613880973977,0.0,0.0,0.005033498614829944,9.269708214101336e-05,3/13/2017 2:00
4845,0.4777304392127647,1.2710558360976898,0.0,0.0,0.00499700259331439,8.756805246036503e-05,3/13/2017 3:00
4846,0.47364341031001395,1.2601818337048307,0.0,0.0,0.0049583784538677475,8.269321113951955e-05,3/13/2017 4:00
4847,0.4693921620177519,1.2488709070628432,0.0,0.0,0.004917760908679911,7.806395917883125e-05,3/13/2017 5:00
4848,0.46498822962490405,1.2371537471118608,0.0,0.0,0.0048752816435212246,7.367138295443666e-05,3/13/2017 6:00
4849,0.4604428158560515,1.2250601599669864,0.0,0.0,0.004831068996002329,6.950637746027999e-05,3/13/2017 7:00
4850,0.4557667767217071,1.2126190292713501,0.0,0.0,0.004785247702340443,6.555974894379091e-05,3/13/2017 8:00
4851,0.45097061125343474,1.1998582888852374,0.0,0.0,0.004737938703157474,6.182229985680854e-05,3/13/2017 9:00
4852,0.4460644545835722,1.1868049044739057,0.0,0.0,0.004689259000029891,5.828489865195019e-05,3/13/2017 10:00
4853,0.4410580738957863,1.1734848627335825,0.0,0.0,0.0046393215555580935,5.493853661429293e-05,3/13/2017 11:00
4854,0.43596086683125373,1.1599231671509258,0.0,0.0,0.004588235230641861,5.1774373622603954e-05,3/13/2017 12:00
4855,0.43078186198682966,1.1461438393284593,0.0,0.0,0.004536104753454144,4.878377447765869e-05,3/13/2017 13:00
4856,0.42552972118699006,1.1321699250293338,0.0,0.0,0.004483030715311846,4.595833721213749e-05,3/13/2017 14:00
4857,0.4202127432513233,1.1180235042011601,0.0,0.0,0.004429109589261343,4.328991460320619e-05,3/13/2017 15:00
4858,0.41483886901455347,1.1037257043323534,0.0,0.0,0.004374433767739028,4.0770629940973805e-05,3/13/2017 16:00
4859,0.40941568738705947,1.0892967165768253,0.0,0.0,0.0043190916161425785,3.8392887960407854e-05,3/13/2017 17:00
4860,0.40395044227110305,1.0747558141553932,0.0,0.0,0.004263167539564921,3.6149381718040276e-05,3/13/2017 18:00
4861,0.39845004017196733,1.0601213726060725,0.0,0.0,0.0042067420603075405,3.403309608535077e-05,3/13/2017 19:00
4862,0.3929210583642662,1.0454108915114682,0.0,0.0,0.004149891904108848,3.203730843590824e-05,3/13/2017 20:00
4863,0.38736975349222036,1.0306410173807787,0.0,0.0,0.004092690093302663,3.0155587021154506e-05,3/13/2017 21:00
4864,0.38180207049895964,1.0158275674072172,0.0,0.0,0.0040352060453661106,2.838178745868003e-05,3/13/2017 22:00
4865,0.37622365179420164,1.000985553859654,0.0,0.0,0.003977505675529866,2.6710047695224228e-05,3/13/2017 23:00
4866,0.37063984658219323,0.9861292089006612,0.0,0.0,0.003919651502310322,2.5134781753455295e-05,3/14/2017 0:00
4867,0.3650557202827963,0.9712720096523756,0.0,0.0,0.003861702754986339,2.3650672525530327e-05,3/14/2017 1:00
4868,0.35947606398824183,0.956426703357262,0.0,0.0,0.003803715482185537,2.2252663836723753e-05,3/14/2017 2:00
4869,0.353905403906516,0.9416053325033092,0.0,0.0,0.003745742660869326,2.09359519680552e-05,3/14/2017 3:00
4870,0.34834801074973637,0.9268192598028672,0.0,0.0,0.0036878343051140626,1.9695976797295955e-05,3/14/2017 4:00
4871,0.34280790903233777,0.9120791929315197,0.0,0.0,0.00363003757418007,1.8528412692206952e-05,3/14/2017 5:00
4872,0.33728888624953374,0.8973952089484205,0.0,0.0,0.0035723968794423005,1.7429159267892124e-05,3/14/2017 6:00
4873,0.3317945019114559,0.8827767783326411,0.0,0.0,0.003514953989827768,1.6394332101323793e-05,3/14/2017 7:00
4874,0.32632809641266725,0.8682327885815142,0.0,0.0,0.003457748135466854,1.5420253479856426e-05,3/14/2017 8:00
4875,0.3208927997204887,0.853771567326908,0.0,0.0,0.003400816109319309,1.4503443246640658e-05,3/14/2017 9:00
4876,0.3154915398688405,0.8394009049340516,0.0,0.0,0.0033441923665823384,1.3640609794018933e-05,3/14/2017 10:00
4877,0.31012705124712026,0.8251280765550327,0.0,0.0,0.003287909121728389,1.2828641245743455e-05,3/14/2017 11:00
4878,0.30480188267609476,0.8109598636156192,0.0,0.0,0.003231996443055,1.206459686029504e-05,3/14/2017 12:00
4879,0.2995184052648989,0.7969025747196946,0.0,0.0,0.003176482344658992,1.1345698680140792e-05,3/14/2017 13:00
4880,0.294278820045068,0.7829620659604627,0.0,0.0,0.003121392875772988,1.0669323445580136e-05,3/14/2017 14:00
4881,0.289085165379101,0.7691437606317681,0.0,0.0,0.003066752207424276,1.0032994786559613e-05,3/14/2017 15:00
4882,0.28393932414240763,0.7554526683364784,0.0,0.0,0.003012582716394848,9.434375701371511e-06,3/14/2017 16:00
4883,0.2788430306786444,0.7418934034919415,0.0,0.0,0.002958905066477478,8.87126132747218e-06,3/14/2017 17:00
4884,0.273797877529433,0.7284702032351629,0.0,0.0,0.0029057382870362517,8.34157200654495e-06,3/14/2017 18:00
